Estuary_name,Site_Code,Estuary_type,Disturbance_class,Summer,Date,Temp °C,pH,Salinity (PSU),Turbidity (NTU),Days_Elapsed,Latitude ,Longitude,Seagrass_area (km^2),Mangrove_area (km^2),Total_estuary_area (m^2),Estuary_volume (ML),total_sa_vol,Total_area_saltmarsh (km^2),Average_depth (m),Perimeter (km),openwater_SA.volume,Total_flush_time (days),Retention_factor,Propn_increase_N,percent_cleared,percent_urban,Catchment_area (km^2)
Lake Arragan,ARA,Lake,VL,2012,11/11/2012,18.92,NA,37.94,3.64,1865,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Lake Arragan,ARA,Lake,VL,2009,05/10/2009,21.5,NA,29.28,11.02,732,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Lake Arragan,ARA,Lake,VL,2009,05/10/2009,23.46,NA,29.42,15.09,732,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Lake Arragan,ARA,Lake,VL,2012,30/10/2012,24.42,NA,39.95,4.05,1853,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Lake Arragan,ARA,Lake,VL,2012,30/10/2012,25.7,NA,39.6,5.76,1853,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Lake Arragan,ARA,Lake,VL,2012,17/09/2012,18.05,NA,34.07,4.95,1810,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Lake Arragan,ARA,Lake,VL,2012,17/09/2012,18.45,NA,34.26,3.63,1810,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Lake Arragan,ARA,Lake,VL,2012,26/09/2012,22.17,NA,33.54,4.12,1819,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Lake Arragan,ARA,Lake,VL,2012,26/09/2012,22.31,NA,33.32,4.61,1819,29.57,153.34,0,0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1,0,0,9.28
Arrawarra Creek,ARR,Lagoon,M,2015,01/04/2016,26.02,7.64,31.61,5.99,3103,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2015,01/04/2016,26.7,7.55,31.48,4.64,3103,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2015,16/12/2015,27.86,7.8,32.87,7.4,2996,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2015,16/12/2015,28.1,7.87,33.66,7.2,2996,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2018,14/12/2018,28.48,7.71,24.72,5,4090,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2018,14/12/2018,27.97,7.77,24.9,4.63,4090,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2015,07/02/2016,24,7.77,29.9,5,3049,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2015,07/02/2016,25.1,7.65,30.7,4.2,3049,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2015,16/01/2016,24.25,7.76,35.33,8.92,3027,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
Arrawarra Creek,ARR,Lagoon,M,2015,16/01/2016,25.41,7.71,35.15,10.09,3027,30.06,153.2,0,0.01,0.1,43.9,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82
